,STATION,zipcode
0,59 ST,11207
1,5 AV/59 ST,10022
2,57 ST-7 AV,10106
3,49 ST,10020
4,TIMES SQ-42 ST,10018
5,34 ST-HERALD SQ,11003
6,28 ST,10001
7,23 ST,10010
8,14 ST-UNION SQ,10003
9,8 ST-NYU,10003
10,PRINCE ST,10012
11,CANAL ST,10013
12,CITY HALL,10007
13,CORTLANDT ST,10006
14,RECTOR ST,10006
15,DELANCEY/ESSEX,10002
16,BOWERY,10002
17,CHAMBERS ST,10013
18,FULTON ST,10038
19,BROAD ST,10005
20,7 AV,10106
21,PARK PLACE,11238
22,BOTANIC GARDEN,10458
23,PROSPECT PARK,11226
24,PARKSIDE AV,11226
25,CHURCH AV,11218
26,BEVERLEY ROAD,11226
27,CORTELYOU RD,11226
28,NEWKIRK PLAZA,11226
29,AVENUE H,11230
30,AVENUE J,11230
31,AVENUE M,11230
32,KINGS HWY,11229
33,AVENUE U,11223
34,NECK RD,11229
35,SHEEPSHEAD BAY,11235
36,BRIGHTON BEACH,11235
37,OCEAN PKWY,11235
38,BOROUGH HALL,11201
39,JAY ST-METROTEC,11201
40,DEKALB AV,11217
41,ATL AV-BARCLAY,11217
42,UNION ST,11215
43,4AV-9 ST,11215
44,PROSPECT AV,11215
45,25 ST,11232
46,36 ST,10012
47,45 ST,11220
48,53 ST,10022
49,BAY RIDGE AV,11220
50,77 ST,10075
51,86 ST,10028
52,BAY RIDGE-95 ST,11209
53,8 AV,10014
54,FT HAMILTON PKY,11218
55,NEW UTRECHT AV,11219
56,18 AV,11204
57,20 AV,10309
58,BAY PKWY,11204
59,9 AV,11219
60,50 ST,10019
61,55 ST,11219
62,71 ST,11375
63,79 ST,11220
64,25 AV,11214
65,BAY 50 ST,11214
66,W 8 ST-AQUARIUM,11224
67,6 AV,10019
68,3 AV,10003
69,1 AV,10017
70,BEDFORD AV,11211
71,LORIMER ST,11211
72,GRAHAM AV,11211
73,GRAND ST,10017
74,MONTROSE AV,11206
75,MORGAN AV,11237
76,JEFFERSON ST,11237
77,MYRTLE-WYCKOFF,11237
78,HALSEY ST,11207
79,WILSON AV,11207
80,BUSHWICK AV,11207
81,ATLANTIC AV,11243
82,SUTTER AV,11212
83,LIVONIA AV,11212
84,NEW LOTS,11212
85,EAST 105 ST,11236
86,CANARSIE-ROCKAW,11236
87,HOWARD BCH JFK,11430
88,JFK JAMAICA CT1,11435
89,MARCY AV,11211
90,HEWES ST,11211
91,FLUSHING AV,11206
92,MYRTLE AV,11206
93,KOSCIUSZKO ST,11221
94,GATES AV,11221
95,CHAUNCEY ST,11207
96,ALABAMA AV,11207
97,VAN SICLEN AV,11207
98,CLEVELAND ST,11208
99,NORWOOD AV,11208
100,CRESCENT ST,11208
101,CYPRESS HILLS,11208
102,75 ST-ELDERTS,11421
103,85 ST-FOREST PK,11421
104,WOODHAVEN BLVD,11373
105,104 ST,11418
106,111 ST,11368
107,121 ST,11418
108,SENECA AVE,11385
109,FOREST AVE,11375
110,FRESH POND RD,11385
111,METROPOLITAN AV,11379
112,INWOOD-207 ST,10034
113,DYCKMAN ST,10040
114,190 ST,10040
115,181 ST,10040
116,175 ST,10033
117,168 ST,10032
118,163 ST-AMSTERDM,10032
119,155 ST,10039
120,145 ST,10031
121,135 ST,10030
122,125 ST,10035
123,116 ST,10027
124,CATHEDRAL PKWY,10025
125,103 ST,10029
126,96 ST,10025
127,81 ST-MUSEUM,10024
128,72 ST,10021
129,59 ST COLUMBUS,10023
130,42 ST-PORT AUTH,10036
131,34 ST-PENN STA,10119
132,14 ST,10011
133,W 4 ST-WASH SQ,10012
134,SPRING ST,10013
135,WORLD TRADE CTR,10006
136,HIGH ST,11201
137,HOYT-SCHER,11201
