Zip,Median,Median_adjusted,Mean
10119,"61,350","61,350","94,291"
11243,"116,342","116,342","170,485"
10106,"130,082","130,082","203,395"
10001,"71,245","79,794","123,113"
10002,"30,844","34,545","46,259"
10003,"89,999","100,798","139,331"
10004,"110,184","123,406","156,683"
10005,"115,133","128,949","163,763"
10006,"111,220","124,566","156,776"
10007,"145,459","162,914","256,236"
10009,"56,615","63,409","78,138"
10010,"93,702","104,946","137,106"
10011,"92,359","103,443","160,937"
10012,"81,317","91,075","135,999"
10013,"69,836","78,216","137,738"
10014,"98,450","110,264","162,205"
10016,"96,760","108,372","144,872"
10017,"102,524","114,826","149,724"
10018,"84,799","94,975","112,292"
10019,"84,786","94,961","133,175"
10020,"113,846","127,508","147,680"
10021,"113,800","127,456","198,530"
10022,"93,107","104,279","158,965"
10023,"108,286","121,280","194,366"
10024,"110,999","124,319","191,408"
10025,"65,001","72,801","112,009"
10026,"31,542","35,327","50,332"
10027,"38,550","43,176","57,767"
10028,"105,456","118,111","192,258"
10029,"32,877","36,822","56,937"
10030,"28,525","31,948","51,241"
10031,"31,526","35,309","51,413"
10032,"29,536","33,080","40,902"
10033,"36,463","40,838","53,967"
10034,"37,866","42,410","46,838"
10035,"23,302","26,098","37,222"
10036,"62,393","69,881","89,879"
10037,"40,080","44,889","52,945"
10038,"55,937","62,650","89,760"
10039,"28,692","32,135","37,075"
10040,"37,107","41,560","48,180"
10044,"102,486","114,784","117,866"
10065,"108,155","121,134","191,674"
10069,"54,236","60,744","108,784"
10075,"112,268","125,740","188,422"
10110,"36,906","41,335","79,288"
10128,"105,187","117,809","180,473"
10162,"72,258","80,929","116,427"
10165,"85,565","95,833","151,404"
10170,"104,023","116,506","146,411"
10171,"104,023","116,506","146,411"
10199,"84,276","94,389","107,615"
10278,"104,405","116,934","143,247"
10280,"98,938","110,810","138,990"
10301,"56,776","63,590","75,010"
10302,"59,919","67,110","70,774"
10303,"54,758","61,329","66,353"
10304,"46,260","51,812","65,695"
10305,"58,938","66,010","75,469"
10306,"75,212","84,238","91,446"
10307,"92,781","103,915","110,791"
10308,"75,668","84,748","85,726"
10309,"84,917","95,107","98,956"
10310,"65,263","73,095","77,596"
10312,"84,524","94,667","99,002"
10314,"78,414","87,823","90,428"
10451,"22,970","25,727","30,637"
10452,"27,673","30,994","35,201"
10453,"26,324","29,483","35,179"
10454,"18,024","20,187","28,294"
10455,"22,829","25,568","33,951"
10456,"21,955","24,590","30,837"
10457,"25,474","28,531","34,688"
10458,"25,642","28,719","34,873"
10459,"22,843","25,584","33,744"
10460,"23,645","26,482","33,568"
10461,"47,716","53,442","58,037"
10462,"46,085","51,615","51,310"
10463,"52,302","58,578","65,039"
10464,"1,520","1,703","1,673"
10465,"61,446","68,820","73,646"
10466,"48,470","54,286","57,368"
10467,"35,375","39,620","45,203"
10468,"28,765","32,217","38,638"
10469,"57,183","64,045","66,926"
10470,"53,208","59,592","65,712"
10471,"56,910","63,739","79,167"
10472,"32,632","36,548","42,815"
10473,"36,132","40,468","49,073"
10474,"24,244","27,154","31,476"
10475,"47,895","53,642","57,491"
10501,"156,900","175,728","192,610"
10502,"123,763","138,614","164,350"
10503,"115,875","129,780","199,102"
10504,"171,989","192,628","287,442"
10505,"123,682","138,524","149,437"
10506,"186,803","209,219","302,811"
10507,"67,031","75,074","107,827"
10509,"85,832","96,131","108,515"
10510,"175,217","196,243","244,705"
10511,"88,453","99,067","127,632"
10512,"94,768","106,141","108,953"
10514,"189,957","212,752","278,279"
10516,"77,414","86,703","108,344"
10517,"76,820","86,038","84,219"
10518,"163,441","183,054","227,497"
10519,"137,961","154,517","213,441"
10520,"95,299","106,735","123,312"
10522,"107,195","120,059","132,831"
10523,"80,390","90,036","97,311"
