Zip,Median,Median_adjusted,Mean,Pop
10001,"71,245","79,794","123,113","17,678"
10002,"30,844","34,545","46,259","70,878"
10003,"89,999","100,798","139,331","53,609"
10004,"110,184","123,406","156,683","1,271"
10005,"115,133","128,949","163,763","1,517"
10006,"111,220","124,566","156,776",972
10007,"145,459","162,914","256,236","3,520"
10009,"56,615","63,409","78,138","56,975"
10010,"93,702","104,946","137,106","27,322"
10011,"92,359","103,443","160,937","45,899"
10012,"81,317","91,075","135,999","26,464"
10013,"69,836","78,216","137,738","24,723"
10014,"98,450","110,264","162,205","32,867"
10016,"96,760","108,372","144,872","49,904"
10017,"102,524","114,826","149,724","16,231"
10018,"84,799","94,975","112,292","4,255"
10019,"84,786","94,961","133,175","39,048"
10020,"113,846","127,508","147,680",1
10021,"113,800","127,456","198,530","44,173"
10022,"93,107","104,279","158,965","26,460"
10023,"108,286","121,280","194,366","59,002"
10024,"110,999","124,319","191,408","61,485"
10025,"65,001","72,801","112,009","96,117"
10026,"31,542","35,327","50,332","25,925"
10027,"38,550","43,176","57,767","57,049"
10028,"105,456","118,111","192,258","40,914"
10029,"32,877","36,822","56,937","76,271"
10030,"28,525","31,948","51,241","26,058"
10031,"31,526","35,309","51,413","59,450"
10032,"29,536","33,080","40,902","54,744"
10033,"36,463","40,838","53,967","59,049"
10034,"37,866","42,410","46,838","37,785"
10035,"23,302","26,098","37,222","31,078"
10036,"62,393","69,881","89,879","18,660"
10037,"40,080","44,889","52,945","16,994"
10038,"55,937","62,650","89,760","15,435"
10039,"28,692","32,135","37,075","21,738"
10040,"37,107","41,560","48,180","46,585"
10044,"102,486","114,784","117,866","9,519"
10065,"108,155","121,134","191,674","31,500"
10069,"54,236","60,744","108,784","1,843"
10075,"112,268","125,740","188,422","25,187"
10110,"36,906","41,335","79,288",33
10128,"105,187","117,809","180,473","59,434"
10162,"72,258","80,929","116,427","1,726"
10165,"85,565","95,833","151,404",7
10170,"104,023","116,506","146,411",1
10171,"104,023","116,506","146,411",1
10199,"84,276","94,389","107,615",10
10278,"104,405","116,934","143,247",2
10280,"98,938","110,810","138,990","4,298"
10301,"56,776","63,590","75,010","38,618"
10302,"59,919","67,110","70,774","16,580"
10303,"54,758","61,329","66,353","22,842"
10304,"46,260","51,812","65,695","36,662"
10305,"58,938","66,010","75,469","37,014"
10306,"75,212","84,238","91,446","54,812"
10307,"92,781","103,915","110,791","11,662"
10308,"75,668","84,748","85,726","23,972"
10309,"84,917","95,107","98,956","27,255"
10310,"65,263","73,095","77,596","22,793"
10312,"84,524","94,667","99,002","55,963"
10314,"78,414","87,823","90,428","85,260"
10451,"22,970","25,727","30,637","37,570"
10452,"27,673","30,994","35,201","71,254"
10453,"26,324","29,483","35,179","77,913"
10454,"18,024","20,187","28,294","30,078"
10455,"22,829","25,568","33,951","37,013"
10456,"21,955","24,590","30,837","75,975"
10457,"25,474","28,531","34,688","68,492"
10458,"25,642","28,719","34,873","77,840"
10459,"22,843","25,584","33,744","38,847"
10460,"23,645","26,482","33,568","53,752"
10461,"47,716","53,442","58,037","48,081"
10462,"46,085","51,615","51,310","71,130"
10463,"52,302","58,578","65,039","62,456"
10464,"1,520","1,703","1,673",109
10465,"61,446","68,820","73,646","41,282"
10466,"48,470","54,286","57,368","68,662"
10467,"35,375","39,620","45,203","94,492"
10468,"28,765","32,217","38,638","76,073"
10469,"57,183","64,045","66,926","63,256"
10470,"53,208","59,592","65,712","15,778"
10471,"56,910","63,739","79,167","18,127"
10472,"32,632","36,548","42,815","64,864"
10473,"36,132","40,468","49,073","52,624"
10474,"24,244","27,154","31,476","11,365"
10475,"47,895","53,642","57,491","38,149"
10501,"156,900","175,728","192,610","1,134"
10502,"123,763","138,614","164,350","5,184"
10503,"115,875","129,780","199,102",109
10504,"171,989","192,628","287,442","7,139"
10505,"123,682","138,524","149,437",185
10506,"186,803","209,219","302,811","5,506"
10507,"67,031","75,074","107,827","5,855"
10509,"85,832","96,131","108,515","18,988"
10510,"175,217","196,243","244,705","9,727"
10511,"88,453","99,067","127,632","2,213"
10512,"94,768","106,141","108,953","23,865"
10514,"189,957","212,752","278,279","11,974"
10516,"77,414","86,703","108,344","5,202"
10517,"76,820","86,038","84,219",422
10518,"163,441","183,054","227,497",954
10519,"137,961","154,517","213,441",392
10520,"95,299","106,735","123,312","12,434"
10522,"107,195","120,059","132,831","10,636"
10523,"80,390","90,036","97,311","7,710"
10524,"83,074","93,043","114,247","4,260"
10526,"158,977","178,054","218,303","1,675"
10527,"158,207","177,192","191,959",895
10528,"131,616","147,409","188,528","12,301"
10530,"105,377","118,022","133,486","13,240"
10532,"91,259","102,210","112,889","5,895"
10533,"113,451","127,065","190,827","7,547"
10535,"106,333","119,093","130,341",454
10536,"131,968","147,804","214,946","11,160"
10537,"86,493","96,872","93,707","1,783"
10538,"150,774","168,867","248,074","16,321"
10541,"95,198","106,622","114,064","26,329"
10543,"94,724","106,091","146,272","20,016"
10545,"112,917","126,467","152,224",134
10546,"176,042","197,167","214,907","1,243"
10547,"86,362","96,726","105,364","7,332"
10548,"82,778","92,712","98,134","3,027"
10549,"107,169","120,029","158,325","15,655"
10550,"42,807","47,944","55,141","37,904"
10552,"67,770","75,903","91,158","19,937"
10553,"56,382","63,148","66,995","10,435"
10560,"139,313","156,031","215,201","4,659"
10562,"84,560","94,707","106,628","30,926"
10566,"56,245","62,994","71,247","22,450"
10567,"108,723","121,770","128,465","18,741"
10570,"132,183","148,045","181,361","12,561"
10573,"73,394","82,201","105,130","36,472"
10576,"219,554","245,900","339,449","4,764"
10577,"193,533","216,757","361,842","3,419"
10578,"134,186","150,289","206,558",764
10579,"92,600","103,712","102,068","8,097"
10580,"161,992","181,431","275,650","16,560"
10583,"177,857","199,200","262,309","38,273"
10588,"88,148","98,726","107,894","1,914"
10589,"96,884","108,510","123,164","7,404"
10590,"149,131","167,026","192,346","6,755"
10591,"86,347","96,709","115,737","21,538"
10594,"110,169","123,389","138,953","5,038"
10595,"88,432","99,044","107,037","7,552"
10596,"85,121","95,336","100,936",778
10597,"162,875","182,420","226,377",920
10598,"107,925","120,877","130,656","29,337"
10601,"57,212","64,077","79,187","9,319"
10603,"84,012","94,094","107,930","15,421"
10604,"87,092","97,543","131,237","10,782"
10605,"113,684","127,326","145,134","17,347"
10606,"63,803","71,460","91,931","15,706"
10607,"99,337","111,257","119,664","6,924"
10701,"44,417","49,747","56,331","61,035"
10703,"54,745","61,314","68,861","20,903"
10704,"63,087","70,658","74,430","30,497"
10705,"36,094","40,425","48,376","27,216"
10706,"138,152","154,730","183,467","8,664"
10707,"97,931","109,682","128,239","9,712"
