,STATION,lat,lng
0,1 AV,40.7492319,-73.97051189999999
1,103 ST,40.7901906,-73.9476792
2,103 ST-CORONA,40.7497795,-73.86264609999999
3,104 ST,40.695178,-73.84433
4,110 ST,40.8039733,-73.9666165
5,111 ST,40.75172999999999,-73.855334
6,116 ST,40.807722,-73.96410999999999
7,116 ST-COLUMBIA,40.8081311,-73.96359
8,121 ST,40.5230707,-74.2206151
9,125 ST,40.805157,-73.939149
10,135 ST,40.817894,-73.947647
11,137 ST CITY COL,40.821374,-73.95440099999999
12,138/GRAND CONC,40.81313,-73.929683
13,14 ST,40.7371991,-73.996692
14,14 ST-UNION SQ,40.7348492,-73.9908332
15,145 ST,40.8240445,-73.9444496
16,149/GRAND CONC,40.818323,-73.92718280000001
17,14TH STREET,40.7387672,-73.9997188
18,15 ST-PROSPECT,40.6606742,-73.97947780000001
19,155 ST,40.8310964,-73.9415624
20,157 ST,40.8342387,-73.9450796
21,161/YANKEE STAD,40.8256289,-73.9302379
22,163 ST-AMSTERDM,40.836013,-73.939892
23,167 ST,40.834458,-73.9181569
24,168 ST,40.8408568,-73.9397731
25,169 ST,40.71047,-73.793604
26,170 ST,40.8400823,-73.913353
27,174 ST,40.8374194,-73.887805
28,174-175 STS,40.8465067,-73.90972289999999
29,175 ST,40.8479501,-73.9393709
30,176 ST,40.84848,-73.911794
31,18 AV,40.620091,-73.98948229999999
32,18 ST,40.74104,-73.997871
33,181 ST,40.8491196,-73.9337381
34,182-183 STS,40.856093,-73.900741
35,183 ST,40.8583924,-73.90397810000002
36,190 ST,40.8588877,-73.9342216
37,191 ST,40.5229253,-74.2229079
38,2 AV,40.723938,-73.99129169999999
39,20 AV,40.5229607,-74.21711859999999
40,207 ST,40.8678989,-73.9212342
41,21 ST,40.7447266,-73.9486886
42,21 ST-QNSBRIDGE,40.75417770000001,-73.94247419999999
43,215 ST,40.8696056,-73.9153168
44,219 ST,40.8837954,-73.86283159999999
45,225 ST,40.874561,-73.909831
46,23 ST,40.7427439,-73.99264529999999
47,231 ST,40.881111,-73.909027
48,233 ST,40.893193,-73.85747300000001
49,238 ST,40.884667,-73.90087
50,25 AV,40.5976616,-73.9867701
51,25 ST,40.660397,-73.998091
52,28 ST,40.7472228,-73.99311279999999
53,3 AV 138 ST,40.81047600000001,-73.926138
54,3 AV,40.733134,-73.9870266
55,3 AV-149 ST,40.816129,-73.917811
56,33 ST,40.7485354,-73.98854659999999
57,33 ST-RAWSON ST,40.744587,-73.93099699999999
58,34 ST-HERALD SQ,40.750082,-73.98813129999999
59,34 ST-HUDSON YD,40.7549699,-74.0010058
60,34 ST-PENN STA,40.750568,-73.993519
61,36 ST,40.6545136,-74.0044579
62,39 AV,40.5232839,-74.21780199999999
63,4 AV-9 ST,40.6705107,-73.99005819999999
64,40 ST LOWERY ST,40.7438908,-73.9241552
65,42 ST-BRYANT PK,40.7551354,-73.9841134
66,42 ST-PORT AUTH,40.757873,-73.991457
67,45 ST,40.648939,-74.01000599999999
68,46 ST BLISS ST,40.7430616,-73.9182048
69,46 ST,40.7566297,-73.9143964
70,47-50 STS ROCK,40.75866300000001,-73.981329
71,49 ST,40.760362,-73.9835025
72,4AV-9 ST,40.6705107,-73.99005819999999
73,5 AV/53 ST,40.7602163,-73.975543
74,5 AV/59 ST,40.7652386,-73.9747197
75,5 AVE,40.7602163,-73.975543
76,50 ST,40.76250479999999,-73.9862468
77,51 ST,40.757552,-73.969055
78,52 ST,40.5228282,-74.2183223
79,53 ST,40.7602163,-73.975543
80,55 ST,40.5231772,-74.2183223
81,57 ST,40.765564,-73.9803309
82,57 ST-7 AV,40.765564,-73.9803309
83,59 ST COLUMBUS,40.7684839,-73.981807
84,59 ST,40.762824,-73.967562
85,6 AV,40.523075,-74.2165224
86,61 ST WOODSIDE,40.7456717,-73.9029142
87,63 DR-REGO PARK,40.72984599999999,-73.861604
88,65 ST,40.749142,-73.8974671
89,66 ST-LINCOLN,40.7735874,-73.9820172
90,67 AV,40.5231637,-74.2187809
91,68ST-HUNTER CO,40.76786999999999,-73.963894
92,69 ST,40.7462734,-73.89633169999999
93,7 AV,40.765564,-73.9803309
94,71 ST,40.71969410000001,-73.84473129999999
95,72 ST,40.7686549,-73.9584259
96,72 ST-2 AVE,40.7686549,-73.9584259
97,74 ST-BROADWAY,40.7466891,-73.8908579
98,75 AV,40.718331,-73.837324
99,75 ST-ELDERTS,40.6913744,-73.86722379999999
100,77 ST,40.7735072,-73.95974269999999
101,79 ST,40.783934,-73.979917
102,8 AV,40.7397407,-74.00280390000002
103,8 ST-NYU,40.7306255,-73.9926698
104,80 ST,40.522756,-74.2191936
105,81 ST-MUSEUM,40.7819786,-73.9720136
106,82 ST-JACKSON H,40.74765900000001,-73.883697
107,85 ST-FOREST PK,40.692435,-73.86001
108,86 ST,40.7778805,-73.95147279999999
109,86 ST-2 AVE,40.7778805,-73.95147279999999
110,88 ST,40.679843,-73.85146999999999
111,9 AV,40.646292,-73.99432399999999
112,90 ST-ELMHURST,40.7484876,-73.87653279999999
113,96 ST,40.7941912,-73.9721368
114,96 ST-2 AVE,40.7858497,-73.9509439
115,9TH STREET,40.7341679,-73.9988364
116,ALABAMA AV,40.6769157,-73.8993744
117,ALLERTON AV,40.8654419,-73.867245
118,AQUEDUCT RACETR,40.6721482,-73.8356853
119,ASTOR PL,40.7300946,-73.9908418
120,ASTORIA BLVD,40.7668012,-73.9215746
121,ASTORIA DITMARS,40.775036,-73.91203399999999
122,ATL AV-BARCLAY,40.683666,-73.97881
123,ATLANTIC AV,40.6853002,-73.9775763
124,AVENUE H,40.6297567,-73.96167109999999
125,AVENUE I,40.6253221,-73.9761347
126,AVENUE J,40.6252595,-73.9607769
127,AVENUE M,40.617618,-73.95939899999999
128,AVENUE N,40.61514,-73.974197
129,AVENUE P,40.6088188,-73.9729748
130,AVENUE U,40.5965048,-73.97894649999999
131,AVENUE X,40.58962,-73.97425
132,BAY 50 ST,40.588841,-73.98376499999999
133,BAY PKWY,40.61188000000001,-73.98187109999999
134,BAY RIDGE AV,40.634967,-74.023377
135,BAY RIDGE-95 ST,40.616622,-74.03087599999999
136,BAYCHESTER AV,40.8795827,-73.8379547
137,BEACH 105 ST,40.5832071,-73.8273751
138,BEACH 25 ST,40.59967839999999,-73.7617897
139,BEACH 36 ST,40.59553349999999,-73.7681252
140,BEACH 44 ST,40.5929069,-73.77598200000001
141,BEACH 60 ST,40.592374,-73.788522
142,BEACH 67 ST,40.5909252,-73.7963094
143,BEACH 90 ST,40.5879159,-73.8141345
144,BEACH 98 ST,40.5855231,-73.82042919999999
145,BEDFORD AV,40.717793,-73.9575191
146,BEDFORD PK BLVD,40.87336639999999,-73.89017919999999
147,BEDFORD-NOSTRAN,40.6899751,-73.9516093
148,BERGEN ST,40.6868943,-73.9905278
149,BEVERLEY ROAD,40.6442291,-73.96449799999999
150,BEVERLY RD,40.6442291,-73.96449799999999
151,BLEECKER ST,40.7250151,-73.9956959
152,BOROUGH HALL,40.6923458,-73.987257
153,BOTANIC GARDEN,40.8672174,-73.8817164
154,BOWERY,40.7203142,-73.9934421
155,BOWLING GREEN,40.7046465,-74.013544
156,BRIARWOOD,40.7092812,-73.8199405
157,BRIGHTON BEACH,40.5776648,-73.9612769
158,BROAD CHANNEL,40.6083805,-73.8159112
159,BROAD ST,40.7070231,-74.01088360000001
160,BROADWAY JCT,41.0353239,-73.86546
161,BROADWAY,40.7623472,-73.9256595
162,BRONX PARK EAST,40.848828,-73.86845699999999
163,BROOK AV,40.8077543,-73.91935649999999
164,BROOKLYN BRIDGE,40.7060855,-73.9968643
165,BUHRE AV,40.84681,-73.83256899999999
166,BURKE AV,40.871356,-73.867164
167,BURNSIDE AV,40.85345299999999,-73.90768400000002
168,BUSHWICK AV,40.6823164,-73.9051425
169,CANAL ST,40.7189232,-74.0010862
170,CANARSIE-ROCKAW,40.6465706,-73.9019465
171,CARROLL ST,40.67925109999999,-73.9957742
172,CASTLE HILL AV,40.8342899,-73.85154419999999
173,CATHEDRAL PKWY,40.8039733,-73.9666165
174,CENTRAL PK N110,40.7984831,-73.9526131
175,CHAMBERS ST,40.7130543,-74.00410269999999
176,CHAUNCEY ST,40.682893,-73.910456
