,movie_name,movie,opening,date_time,theaters,tot_gross,actors,directors
0,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,"$158,074,286",2013-11-22,"4,163","$424,668,047","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Elizabeth Banks', 'Stanley Tucci', 'Woody Harrelson', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Jena Malone', 'Lenny Kravitz']",['Francis Lawrence']
1,Iron Man 3,Iron Man 3,"$174,144,585",2013-05-03,"4,253","$409,013,994","['Robert Downey, Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Jon Favreau', 'Ben Kingsley', 'Paul Bettany*', 'Mark Ruffalo*']",['Shane Black']
2,Frozen,Frozen,"$243,390",2013-11-22,1,"$400,738,009","['Kristen Bell', 'Josh Gad', 'Alan Tudyk']","['Chris Buck', 'Jennifer Lee']"
3,Despicable Me 2,Despicable Me 2,"$83,517,315",2013-07-03,"3,997","$368,061,265","['Steve Carell', 'Kristen Wiig', 'Benjamin Bratt', 'Russell Brand', 'Steve Coogan']","['Pierre Coffin', 'Chris Renaud']"
4,Man of Steel,Man of Steel,"$116,619,362",2013-06-14,"4,207","$291,045,518","['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Kevin Costner', 'Diane Lane', 'Laurence Fishburne', 'Russell Crowe']",['Zack Snyder']
5,Gravity,Gravity,"$55,785,112",2013-10-04,"3,575","$274,092,705","['George Clooney', 'Sandra Bullock']",['Alfonso Cuaron']
6,Monsters University,Monsters University,"$82,429,469",2013-06-21,"4,004","$268,492,764","['Billy Crystal', 'John Goodman', 'Helen Mirren', 'Alfred Molina*', 'Charlie Day*', 'Aubrey Plaza*', 'John Krasinski*', 'Bonnie Hunt*']",['Dan Scanlon']
7,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,"$73,645,197",2013-12-13,"3,903","$258,366,855","['Martin Freeman', 'Ian McKellen', 'Orlando Bloom', 'Evangeline Lilly', 'Benedict Cumberbatch', 'Luke Evans', 'Cate Blanchett*']",['Peter Jackson']
8,Fast & Furious 6,Fast & Furious 6,"$97,375,245",2013-05-24,"3,658","$238,679,850","['Gal Gadot', 'Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Michelle Rodriguez', 'Tyrese Gibson', ""Chris 'Ludacris' Bridges"", 'Jordana Brewster', 'Luke Evans']",['Justin Lin']
9,Oz The Great and Powerful,Oz The Great and Powerful,"$79,110,453",2013-03-08,"3,912","$234,911,825","['Tony Cox', 'James Franco', 'Mila Kunis', 'Michelle Williams', 'Rachel Weisz', 'Zach Braff', 'Joey King']",['Sam Raimi']
