,actors,director,imdb,metacritic,movie,rated,rotten_tomatoes,runtime,year
0,"Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair",Francis Lawrence,7.5/10,76/100,The Hunger Games: Catching Fire,PG-13,89%,146 min,2013
1,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce",Shane Black,7.2/10,62/100,Iron Man 3,PG-13,80%,130 min,2013
2,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","Chris Buck, Jennifer Lee",7.5/10,74/100,Frozen,PG,90%,102 min,2013
3,"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove","Pierre Coffin, Chris Renaud",7.4/10,62/100,Despicable Me 2,PG,74%,98 min,2013
4,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",Zack Snyder,7.1/10,55/100,Man of Steel,PG-13,55%,143 min,2013
5,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",Alfonso Cuarón,7.8/10,96/100,Gravity,PG-13,96%,91 min,2013
6,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",Dan Scanlon,7.3/10,65/100,Monsters University,G,79%,104 min,2013
7,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",Peter Jackson,7.9/10,66/100,The Hobbit: The Desolation of Smaug,PG-13,74%,161 min,2013
8,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster",Justin Lin,7.1/10,61/100,Fast & Furious 6,PG-13,69%,130 min,2013
9,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams",Sam Raimi,6.3/10,44/100,Oz The Great and Powerful,PG,59%,130 min,2013
10,"Chris Pine, Zachary Quinto, Zoe Saldana, Karl Urban",J.J. Abrams,7.8/10,72/100,Star Trek Into Darkness,PG-13,86%,132 min,2013
11,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",Alan Taylor,7.0/10,54/100,Thor: The Dark World,PG-13,66%,112 min,2013
12,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",Marc Forster,7.0/10,63/100,World War Z,PG-13,66%,116 min,2013
13,"Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener","Kirk De Micco, Chris Sanders",7.2/10,55/100,The Croods,PG,72%,98 min,2013
14,"Sandra Bullock, Melissa McCarthy, Demián Bichir, Marlon Wayans",Paul Feig,6.6/10,60/100,The Heat,R,65%,117 min,2013
15,"Jennifer Aniston, Jason Sudeikis, Emma Roberts, Will Poulter",Rawson Marshall Thurber,7.0/10,44/100,We're the Millers,R,47%,110 min,2013
16,"Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner",David O. Russell,7.3/10,90/100,American Hustle,R,93%,138 min,2013
17,"Lisa Adam, Frank Aldridge, Amitabh Bachchan, Steve Bisley",Baz Luhrmann,7.3/10,55/100,The Great Gatsby,PG-13,49%,143 min,2013
18,"Vera Farmiga, Patrick Wilson, Lili Taylor, Ron Livingston",James Wan,7.5/10,68/100,The Conjuring,R,86%,112 min,2013
19,"Jason Bateman, Melissa McCarthy, Jon Favreau, Amanda Peet",Seth Gordon,5.7/10,35/100,Identity Thief,R,19%,111 min,2013
20,"Adam Sandler, Kevin James, Chris Rock, David Spade",Dennis Dugan,5.4/10,19/100,Grown Ups 2,PG-13,7%,101 min,2013
21,"Hugh Jackman, Tao Okamoto, Rila Fukushima, Hiroyuki Sanada",James Mangold,6.7/10,60/100,The Wolverine,PG-13,69%,126 min,2013
22,"Will Ferrell, Steve Carell, Paul Rudd, David Koechner",Adam McKay,6.3/10,61/100,Anchorman 2: The Legend Continues,PG-13,75%,119 min,2013
23,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster",Peter Berg,7.5/10,60/100,Lone Survivor,R,76%,121 min,2013
24,"Dwayne Johnson, Jonathan Pryce, Byung-hun Lee, Elodie Yung",Jon M. Chu,5.8/10,41/100,G.I. Joe: Retaliation,PG-13,28%,110 min,2013
25,"Bill Hader, Anna Faris, James Caan, Will Forte","Cody Cameron, Kris Pearn",6.4/10,59/100,Cloudy with a Chance of Meatballs 2,PG,71%,95 min,2013
26,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher",Louis Leterrier,7.3/10,50/100,Now You See Me,PG-13,50%,115 min,2013
27,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",Martin Scorsese,8.2/10,75/100,The Wolf of Wall Street,R,78%,180 min,2013
28,"Forest Whitaker, David Banner, Michael Rainey Jr., LaJessie Smith",Lee Daniels,7.2/10,66/100,Lee Daniels' The Butler,PG-13,72%,132 min,2013
29,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",Todd Phillips,5.9/10,30/100,The Hangover Part III,R,21%,100 min,2013
30,"Blake Anderson, Aziz Ansari, Allison Bills, Jim Conroy",Chris Wedge,6.7/10,52/100,Epic,PG,65%,102 min,2013
31,"Tom Hanks, Catherine Keener, Barkhad Abdi, Barkhad Abdirahman",Paul Greengrass,7.8/10,83/100,Captain Phillips,PG-13,93%,134 min,2013
32,"Charlie Hunnam, Diego Klattenhoff, Idris Elba, Rinko Kikuchi",Guillermo del Toro,6.9/10,64/100,Pacific Rim,PG-13,71%,131 min,2013
33,"James Franco, Jonah Hill, Seth Rogen, Jay Baruchel","Evan Goldberg, Seth Rogen",6.6/10,67/100,This is the End,R,82%,107 min,2013
34,"Gerard Butler, Aaron Eckhart, Finley Jacobsen, Dylan McDermott",Antoine Fuqua,6.5/10,41/100,Olympus Has Fallen,R,48%,119 min,2013
35,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni",Brian Helgeland,7.5/10,62/100,42,PG-13,79%,128 min,2013
36,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga",Neill Blomkamp,6.6/10,61/100,Elysium,R,67%,109 min,2013
37,"Dane Cook, Stacy Keach, Brad Garrett, Teri Hatcher",Klay Hall,5.7/10,39/100,Planes,PG,25%,91 min,2013
38,"Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson",Gore Verbinski,6.5/10,37/100,The Lone Ranger,PG-13,31%,150 min,2013
39,"Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough",Joseph Kosinski,7.0/10,54/100,Oblivion,PG-13,52%,124 min,2013
40,"Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye",James Wan,6.6/10,40/100,Insidious Chapter 2,PG-13,39%,106 min,2013
41,"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell",John Lee Hancock,7.5/10,65/100,Saving Mr. Banks,PG-13,78%,125 min,2013
42,"Ryan Reynolds, Paul Giamatti, Michael Peña, Samuel L. Jackson",David Soren,6.5/10,58/100,Turbo,PG,67%,96 min,2013
43,"Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos",Baltasar Kormákur,6.7/10,55/100,2 Guns,R,64%,109 min,2013
44,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal, Jason Clarke",Roland Emmerich,6.4/10,52/100,White House Down,PG-13,50%,131 min,2013
45,"Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Nélisse",Andy Muschietti,6.2/10,57/100,Mama,PG-13,64%,100 min,2013
46,"Julianne Hough, Irene Ziegler, Jon Kohler, Tim Parati",Lasse Hallström,6.7/10,34/100,Safe Haven,PG-13,12%,115 min,2013
47,"Hank Azaria, Neil Patrick Harris, Brendan Gleeson, Jayma Mays",Raja Gosnell,5.4/10,34/100,The Smurfs 2,PG,13%,105 min,2013
48,"Monica Calhoun, Morris Chestnut, Melissa De Sousa, Taye Diggs",Malcolm D. Lee,6.7/10,59/100,The Best Man Holiday,R,70%,123 min,2013
49,"Logan Lerman, Alexandra Daddario, Douglas Smith, Leven Rambin",Thor Freudenthal,5.9/10,39/100,Percy Jackson: Sea of Monsters,PG,43%,106 min,2013
50,"Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead",John Moore,5.3/10,28/100,A Good Day to Die Hard,R,14%,98 min,2013
51,"Nicholas Hoult, Teresa Palmer, Analeigh Tipton, Rob Corddry",Jonathan Levine,6.9/10,59/100,Warm Bodies,PG-13,81%,98 min,2013
52,"Nicholas Hoult, Eleanor Tomlinson, Ewan McGregor, Stanley Tucci",Bryan Singer,6.3/10,51/100,Jack the Giant Slayer,PG-13,52%,114 min,2013
53,"Ethan Hawke, Lena Headey, Max Burkholder, Adelaide Kane",James DeMonaco,5.7/10,41/100,The Purge,R,38%,85 min,2013
54,"Michael Douglas, Robert De Niro, Morgan Freeman, Kevin Kline",Jon Turteltaub,6.6/10,48/100,Last Vegas,PG-13,45%,105 min,2013
55,"Asa Butterfield, Harrison Ford, Hailee Steinfeld, Abigail Breslin",Gavin Hood,6.7/10,51/100,Ender's Game,PG-13,61%,114 min,2013
56,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello",Denis Villeneuve,8.1/10,74/100,Prisoners,R,82%,153 min,2013
57,"Jaden Smith, Will Smith, Sophie Okonedo, Zoë Kravitz",M. Night Shyamalan,4.9/10,33/100,After Earth,PG-13,11%,100 min,2013
58,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn",Ben Stiller,7.3/10,54/100,The Secret Life of Walter Mitty,PG,51%,114 min,2013
59,"Brendan Fraser, Rob Corddry, Ricky Gervais, Jonathan Morgan Heit",Cal Brunker,5.9/10,35/100,Escape From Planet Earth,PG,33%,89 min,2013
60,"Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt",Steve McQueen,8.1/10,96/100,12 Years a Slave,R,96%,134 min,2013
61,"Owen Wilson, Woody Harrelson, Amy Poehler, George Takei",Jimmy Hayward,5.9/10,38/100,Free Birds,PG,19%,91 min,2013
62,"Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas",Fede Alvarez,6.5/10,57/100,Evil Dead,R,61%,91 min,2013
63,"Bruce Willis, John Malkovich, Mary-Louise Parker, Helen Mirren",Dean Parisot,6.7/10,47/100,Red 2,PG-13,43%,116 min,2013
64,"Halle Berry, Abigail Breslin, Morris Chestnut, Michael Eklund",Brad Anderson,6.7/10,51/100,The Call,R,45%,94 min,2013
65,"Sean Penn, Holt McCallany, Wade Williams, James Landry Hébert",Ruben Fleischer,6.7/10,40/100,Gangster Squad,R,32%,113 min,2013
66,"Vince Vaughn, Owen Wilson, Rose Byrne, Aasif Mandvi",Shawn Levy,6.3/10,42/100,The Internship,PG-13,35%,119 min,2013
67,"Andrés Vázquez, Hugo Stiglitz, Eugenio Derbez, Leia Freitas",Eugenio Derbez,7.6/10,55/100,Instructions Not Included,PG-13,55%,122 min,2013
68,"Dwayne Johnson, Barry Pepper, Jon Bernthal, Susan Sarandon",Ric Roman Waugh,6.5/10,51/100,Snitch,PG-13,57%,112 min,2013
69,"Vin Diesel, Jordi Mollà, Matt Nable, Katee Sackhoff",David Twohy,6.4/10,49/100,Riddick,R,57%,119 min,2013
70,"Marlon Wayans, Marlene Forte, Essence Atkins, David Koechner",Michael Tiddes,5.1/10,20/100,A Haunted House,R,10%,86 min,2013
71,"Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki, Tadanobu Asano",Carl Rinsch,6.3/10,28/100,47 Ronin,PG-13,15%,128 min,2013
72,"Meryl Streep, Julia Roberts, Chris Cooper, Ewan McGregor",John Wells,7.2/10,58/100,August: Osage County,R,65%,121 min,2013
73,"Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham",Stephen Frears,7.6/10,77/100,Philomena,PG-13,92%,98 min,2013
74,"Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo",Luc Besson,6.3/10,42/100,The Family,R,29%,111 min,2013
75,"Sissy Spacek, Piper Laurie, Amy Irving, William Katt",Brian De Palma,7.4/10,85/100,Carrie,R,93%,98 min,1976
76,"Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker",Robert Schwentke,5.6/10,25/100,R.I.P.D.,PG-13,14%,96 min,2013
77,"Cate Blanchett, Joy Carlin, Richard Conti, Glen Caspillo",Woody Allen,7.3/10,78/100,Blue Jasmine,PG-13,91%,98 min,2013
78,"Kevin Hart, Harry Ratchford, Will 'Spank' Horton, Joey Wells","Leslie Small, Tim Story",6.8/10,53/100,Kevin Hart: Let Me Explain,R,61%,75 min,2013
79,"Rooney Mara, Carmen Pelaez, Marin Ireland, Channing Tatum",Steven Soderbergh,7.1/10,75/100,Side Effects,R,83%,106 min,2013
80,"Ashley Tisdale, Simon Rex, Gracie Whitton, Ava Kolker","Malcolm D. Lee, David Zucker",3.5/10,11/100,Scary Movie 5,PG-13,4%,86 min,2013
81,"Lily Collins, Jamie Campbell Bower, Kevin Zegers, Jemima West",Harald Zwart,5.9/10,33/100,The Mortal Instruments: City of Bones,PG-13,13%,130 min,2013
82,"Vince Vaughn, Chris Pratt, Cobie Smulders, Andrzej Blumenfeld",Ken Scott,6.4/10,44/100,Delivery Man,PG-13,39%,105 min,2013
