,movie_name,opening,release_date,theaters
0,Toy Story 3,"$110,307,189",6/18/2012,"4,028"
1,Alice in Wonderland (2010),"$116,101,023",3/5/2012,"3,728"
2,Iron Man 2,"$128,122,480",5/7/2012,"4,380"
3,The Twilight Saga: Eclipse,"$64,832,191",6/30/2012,"4,468"
4,Harry Potter and the Deathly Hallows Part 1,"$125,017,372",11/19/2012,"4,125"
5,Inception,"$62,785,337",7/16/2012,"3,792"
6,Despicable Me,"$56,397,125",7/9/2012,"3,476"
7,Shrek Forever After,"$70,838,207",5/21/2012,"4,359"
8,How to Train Your Dragon,"$43,732,319",3/26/2012,"4,055"
9,Tangled,"$48,767,052",11/24/2012,"3,603"
10,The Karate Kid,"$55,665,805",6/11/2012,"3,663"
11,Tron Legacy,"$44,026,211",12/17/2012,"3,451"
12,True Grit,"$24,830,443",12/22/2012,"3,047"
13,Clash of the Titans (2010),"$61,235,105",4/2/2012,"3,777"
14,Grown Ups,"$40,506,562",6/25/2012,"3,534"
15,Little Fockers,"$30,833,665",12/22/2012,"3,536"
16,Megamind,"$46,016,833",11/5/2012,"3,944"
17,The King's Speech,"$355,450",11/26/2012,4
18,The Last Airbender,"$40,325,019",7/1/2012,"3,169"
19,Shutter Island,"$41,062,440",2/19/2012,"2,991"
20,The Other Guys,"$35,543,162",8/6/2012,"3,651"
21,Salt,"$36,011,243",7/23/2012,"3,612"
22,Jackass 3-D,"$50,353,641",10/15/2012,"3,081"
23,Valentine's Day,"$56,260,707",2/12/2012,"3,665"
24,Black Swan,"$1,443,809",12/3/2012,18
25,Robin Hood,"$36,063,385",5/14/2012,"3,503"
26,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$24,005,069",12/10/2012,"3,555"
27,The Expendables,"$34,825,135",8/13/2012,"3,270"
28,Due Date,"$32,689,406",11/5/2012,"3,355"
29,Yogi Bear,"$16,411,322",12/17/2012,"3,515"
30,Date Night,"$25,207,599",4/9/2012,"3,374"
31,The Social Network,"$22,445,653",10/1/2012,"2,771"
32,Sex and the City 2,"$31,001,870",5/27/2012,"3,445"
33,The Book of Eli,"$32,789,494",1/15/2012,"3,111"
34,The Fighter,"$300,010",12/10/2012,4
35,The Town,"$23,808,032",9/17/2012,"2,861"
36,Prince of Persia: The Sands of Time,"$30,095,259",5/28/2012,"3,646"
37,Red,"$21,761,408",10/15/2012,"3,255"
38,Percy Jackson & The Olympians: The Lightning Thief,"$31,236,067",2/12/2012,"3,356"
39,Paranormal Activity 2,"$40,678,424",10/22/2012,"3,216"
40,Harry Potter and the Deathly Hallows Part 2,"$169,189,427",7/15/2012,"4,375"
41,Transformers: Dark of the Moon,"$97,852,865",6/29/2012,"4,088"
42,The Twilight Saga: Breaking Dawn Part 1,"$138,122,261",11/18/2012,"4,061"
43,The Hangover Part II,"$85,946,294",5/26/2012,"3,615"
44,Pirates of the Caribbean: On Stranger Tides,"$90,151,958",5/20/2012,"4,155"
45,Fast Five,"$86,198,765",4/29/2012,"3,644"
46,Mission: Impossible - Ghost Protocol,"$12,785,204",12/16/2012,425
47,Cars 2,"$66,135,507",6/24/2012,"4,115"
48,Sherlock Holmes: A Game of Shadows,"$39,637,079",12/16/2012,"3,703"
49,Thor,"$65,723,338",5/6/2012,"3,955"
50,Rise of the Planet of the Apes,"$54,806,191",8/5/2012,"3,648"
51,Captain America: The First Avenger,"$65,058,524",7/22/2012,"3,715"
52,The Help,"$26,044,590",8/10/2012,"2,534"
53,Bridesmaids,"$26,247,410",5/13/2012,"2,918"
54,Kung Fu Panda 2,"$47,656,302",5/26/2012,"3,925"
55,Puss in Boots,"$34,077,439",10/28/2012,"3,952"
56,X-Men: First Class,"$55,101,604",6/3/2012,"3,641"
57,Rio,"$39,225,962",4/15/2012,"3,826"
58,The Smurfs,"$35,611,637",7/29/2012,"3,395"
59,Alvin and the Chipmunks: Chipwrecked,"$23,244,744",12/16/2012,"3,723"
60,Super 8,"$35,451,168",6/10/2012,"3,379"
61,Rango,"$38,079,323",3/4/2012,"3,917"
62,Horrible Bosses,"$28,302,165",7/8/2012,"3,040"
63,Green Lantern,"$53,174,303",6/17/2012,"3,816"
64,Hop,"$37,543,710",4/1/2012,"3,579"
65,Paranormal Activity 3,"$52,568,183",10/21/2012,"3,321"
66,Just Go With It,"$30,514,732",2/11/2012,"3,548"
67,The Girl with the Dragon Tattoo (2011),"$12,768,604",12/21/2012,"2,914"
68,Bad Teacher,"$31,603,106",6/24/2012,"3,049"
69,Cowboys & Aliens,"$36,431,290",7/29/2012,"3,750"
70,Gnomeo and Juliet,"$25,356,909",2/11/2012,"2,994"
71,The Green Hornet,"$33,526,876",1/14/2012,"3,584"
72,The Lion King (in 3D),"$30,151,614",9/16/2012,"2,330"
73,The Muppets,"$29,239,026",11/23/2012,"3,440"
74,Real Steel,"$27,319,677",10/7/2012,"3,440"
75,"Crazy, Stupid, Love.","$19,104,303",7/29/2012,"3,020"
76,Battle: Los Angeles,"$35,573,187",3/11/2012,"3,417"
77,Immortals,"$32,206,425",11/11/2012,"3,112"
78,The Descendants,"$1,190,096",11/16/2012,29
79,Zookeeper,"$20,065,617",7/8/2012,"3,482"
80,Marvel's The Avengers,"$207,438,708",5/4/2012,"4,349"
81,The Dark Knight Rises,"$160,887,295",7/20/2012,"4,404"
82,The Hunger Games,"$152,535,747",3/23/2012,"4,137"
83,Skyfall,"$88,364,714",11/9/2012,"3,505"
84,The Hobbit: An Unexpected Journey,"$84,617,303",12/14/2012,"4,045"
85,The Twilight Saga: Breaking Dawn Part 2,"$141,067,634",11/16/2012,"4,070"
86,The Amazing Spider-Man,"$62,004,688",7/3/2012,"4,318"
87,Brave,"$66,323,594",6/22/2012,"4,164"
88,Ted,"$54,415,205",6/29/2012,"3,239"
89,Madagascar 3: Europe's Most Wanted,"$60,316,738",6/8/2012,"4,258"
90,Dr. Seuss' The Lorax,"$70,217,070",3/2/2012,"3,729"
91,Wreck-It Ralph,"$49,038,712",11/2/2012,"3,752"
92,Lincoln,"$944,308",11/9/2012,11
93,MIB 3,"$54,592,779",5/25/2012,"4,248"
94,Django Unchained,"$30,122,888",12/25/2012,"3,010"
