,commentCount,dislikeCount,favoriteCount,likeCount,movie_name,v_id,v_title,viewCount
0,110,311,0,1007,Toy Story 3,2BlMNH1QTeE,Toy Story 3 Official Trailer [HD],1507696
1,1513,601,0,11051,Alice in Wonderland (2010),9POCgSRVvf0,ALICE IN WONDERLAND | New Official Full Trailer (HQ) | Official Disney UK,5664008
2,176,115,0,2304,Iron Man 2,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,656646
3,14271,4565,0,35855,The Twilight Saga: Eclipse,S2HIda5wSVU,THE TWILIGHT SAGA: ECLIPSE - Trailer,21973332
4,147,41,0,1299,Harry Potter and the Deathly Hallows Part 1,MxqsmsA8y5k,Harry Potter and the Deathly Hallows: Part 1 Official Trailer #1 - (2010) HD,413432
5,1112,354,0,15369,Inception,YoHD9XEInc0,Inception (2010) Official Trailer #1 - Christopher Nolan Movie HD,3825997
6,853,4550,0,14159,Despicable Me,sUkZFetWYY0,Despicable Me Official Trailer #1 - (2010) HD,16419724
7,1153,539,0,4027,Shrek Forever After,u7__TG7swg0,'Shrek Forever After' Trailer 1 HD,6776985
8,39,12,0,253,How to Train Your Dragon,GfBHLVtbG6U,How to Train Your Dragon Official Trailer [HD],116460
9,154,344,0,2533,Tangled,JYKpIr1lSG0,Tangled - Official Trailer 2,2027612
10,11612,7130,0,84730,The Karate Kid,xCwwxNbtK6Y,Official Cobra Kai Trailer - The Karate Kid saga continues,12174358
11,4825,1008,0,22778,Tron Legacy,L9szn1QQfas,TRON: LEGACY Official Trailer,11955625
12,,,0,,True Grit,qIJ4OJ1wH3o,True Grit (2010) - Trailer,145423
13,16,7,0,126,Clash of the Titans (2010),XJNenKqmOMU,Official Clash of the Titans Movie Trailer 2010 [HD],126453
14,1391,450,0,5568,Grown Ups,e01NVCveGkg,Official Grown Ups Trailer  - In Theaters 6/25,5319877
15,11,21,0,182,Little Fockers,CIUpb2aQ5rM,Little Fockers Official Trailer #1 - (2010) HD,108279
16,124,76,0,905,Megamind,NPI0eatlo_M,Megamind - Official Trailer,557304
17,34,16,0,571,The King's Speech,kYoSQkfrjfA,The King's Speech - Official Trailer - The Weinstein Company,192157
18,7075,4471,0,12749,The Last Airbender,ZMoGFeMmhKA,The Last Airbender Trailer #4 - Official (HD),8879051
19,4703,572,0,19175,Shutter Island,5iaYLCiq5RM,"""Shutter Island"" - Official Trailer [HD]",8649467
