iter	AUC	Logloss
0	0.8004732739	0.6426328327
1	0.818362855	0.6105297777
2	0.8334188822	0.5855943033
3	0.8273989943	0.5686432265
4	0.8237111115	0.559151303
5	0.8214995998	0.5547646668
6	0.8246972439	0.5444454265
7	0.8316188753	0.5325175094
8	0.8521828021	0.5117270655
9	0.8581409208	0.5039304497
10	0.863593576	0.4943989678
11	0.8671544404	0.4851066682
12	0.8681540576	0.4798212054
13	0.8684646437	0.4770660657
14	0.8705969864	0.4715987463
15	0.8713669265	0.4666846529
16	0.8715383143	0.4661374938
17	0.8710833101	0.4642588301
18	0.871169439	0.4623436349
19	0.8712364282	0.4614145703
20	0.8728224179	0.4586331913
21	0.8733757308	0.4539511346
22	0.8733757308	0.4538946492
23	0.8759565528	0.4508373081
24	0.8781036853	0.4477961136
25	0.8780532259	0.4477545403
26	0.8789184298	0.4455545505
27	0.8792055262	0.4450785992
28	0.8792594655	0.4450169618
29	0.8792838252	0.4445827748
30	0.8792838252	0.4445290508
31	0.8799702464	0.4423927761
32	0.8799702464	0.4423783803
33	0.8800189658	0.4409431297
34	0.8835454656	0.434901992
35	0.8835437256	0.4348925242
36	0.883434977	0.4348511887
37	0.8834541168	0.4347909269
38	0.8835411157	0.4346385905
39	0.8836072348	0.4345639446
40	0.8836072348	0.4345606997
41	0.8841862124	0.4317195963
42	0.8842036122	0.4315648496
43	0.8840165646	0.4313549922
44	0.8843976197	0.4309962365
45	0.8844002297	0.4309665682
46	0.8844489491	0.4307528233
47	0.8844489491	0.4307503306
48	0.884843924	0.4305129486
49	0.8849143931	0.4304555459
50	0.8887967184	0.4256727392
51	0.8889267817	0.4254326253
52	0.8889267817	0.4252058835
53	0.8907889929	0.4218203621
54	0.8907933428	0.421775513
55	0.8907933428	0.421722372
56	0.8908142226	0.4216978193
57	0.8907968228	0.4216507633
58	0.8907546283	0.4215854071
59	0.8907589783	0.421583871
60	0.8907650682	0.421549629
61	0.8907650682	0.4215216255
62	0.8907650682	0.4215146576
63	0.8907650682	0.4215133494
64	0.8907650682	0.4215122781
65	0.8907650682	0.4214945867
66	0.8907650682	0.4214944099
67	0.8907650682	0.4214713862
68	0.8907119989	0.4212813075
69	0.8907119989	0.4212774091
70	0.8907119989	0.4212731663
71	0.8907119989	0.4212731417
72	0.8907119989	0.4212694579
73	0.8907119989	0.4212528631
74	0.8907502784	0.4212244201
75	0.8907502784	0.4212244103
76	0.8907502784	0.421221984
77	0.8907554983	0.4212201705
78	0.8907624582	0.4212186253
79	0.8907624582	0.4212186064
80	0.890779858	0.4212021801
81	0.890779858	0.4211999455
82	0.890779858	0.4211958805
83	0.890779858	0.4211958791
84	0.890779858	0.4211875902
85	0.8907920379	0.4211626261
86	0.8907920379	0.4211610444
87	0.8907920379	0.4211607623
88	0.8907920379	0.4211607619
89	0.8908042177	0.4211399321
90	0.8908120476	0.4211209909
91	0.8912718367	0.4204765827
92	0.8942363238	0.4160135593
93	0.8970511727	0.4116386897
94	0.9001718228	0.4073838721
95	0.9001726928	0.407381321
96	0.9014924659	0.404158964
97	0.9037379072	0.4001639545
98	0.9063004594	0.3952898512
99	0.9072448323	0.3919733353
