,Species,Trap,Longitude,Latitude,Station
0,CULEX PIPIENS/RESTUANS,T151,-87.800515,41.916265,2
1,CULEX RESTUANS,T151,-87.800515,41.916265,2
2,CULEX PIPIENS,T151,-87.800515,41.916265,2
3,CULEX TERRITANS,T151,-87.800515,41.916265,2
4,CULEX SALINARIUS,T151,-87.800515,41.916265,2
5,CULEX PIPIENS,T128,-87.56566600000002,41.704572,2
6,CULEX PIPIENS/RESTUANS,T128,-87.56566600000002,41.704572,2
7,CULEX RESTUANS,T128,-87.56566600000002,41.704572,2
8,CULEX SALINARIUS,T128,-87.56566600000002,41.704572,2
9,CULEX TERRITANS,T128,-87.56566600000002,41.704572,2
10,CULEX PIPIENS/RESTUANS,T084,-87.598865,41.692555,2
11,CULEX RESTUANS,T084,-87.598865,41.692555,2
12,CULEX PIPIENS,T084,-87.598865,41.692555,2
13,CULEX PIPIENS,T215,-87.531635,41.686398,2
14,CULEX PIPIENS/RESTUANS,T215,-87.531635,41.686398,2
15,CULEX RESTUANS,T215,-87.531635,41.686398,2
16,CULEX TERRITANS,T215,-87.531635,41.686398,2
17,CULEX SALINARIUS,T215,-87.531635,41.686398,2
18,CULEX PIPIENS,T212,-87.535198,41.680946,2
19,CULEX PIPIENS/RESTUANS,T212,-87.535198,41.680946,2
20,CULEX RESTUANS,T212,-87.535198,41.680946,2
21,CULEX TERRITANS,T212,-87.535198,41.680946,2
22,CULEX SALINARIUS,T212,-87.535198,41.680946,2
23,CULEX PIPIENS,T221,-87.53869300000002,41.659112,2
24,CULEX PIPIENS/RESTUANS,T221,-87.53869300000002,41.659112,2
25,CULEX SALINARIUS,T221,-87.53869300000002,41.659112,2
26,CULEX RESTUANS,T221,-87.53869300000002,41.659112,2
27,CULEX TERRITANS,T221,-87.53869300000002,41.659112,2
28,CULEX PIPIENS/RESTUANS,T097,-87.60449799999998,41.644612,2
29,CULEX PIPIENS,T097,-87.60449799999998,41.644612,2
30,CULEX RESTUANS,T097,-87.60449799999998,41.644612,2
31,CULEX PIPIENS/RESTUANS,T073,-87.60088,41.773215,2
32,CULEX RESTUANS,T073,-87.60088,41.773215,2
33,CULEX PIPIENS,T073,-87.60088,41.773215,2
34,CULEX PIPIENS/RESTUANS,T227,-87.60096300000002,41.728495,2
