,Species,Trap,Longitude,Latitude
0,CULEX PIPIENS/RESTUANS,T151,-87.800515,41.916265
1,CULEX RESTUANS,T151,-87.800515,41.916265
2,CULEX PIPIENS,T151,-87.800515,41.916265
3,CULEX TERRITANS,T151,-87.800515,41.916265
4,CULEX SALINARIUS,T151,-87.800515,41.916265
5,CULEX PIPIENS,T128,-87.56566600000001,41.704572
6,CULEX PIPIENS/RESTUANS,T128,-87.56566600000001,41.704572
7,CULEX RESTUANS,T128,-87.56566600000001,41.704572
8,CULEX SALINARIUS,T128,-87.56566600000001,41.704572
9,CULEX TERRITANS,T128,-87.56566600000001,41.704572
10,CULEX PIPIENS/RESTUANS,T084,-87.598865,41.692555
11,CULEX RESTUANS,T084,-87.598865,41.692555
12,CULEX PIPIENS,T084,-87.598865,41.692555
13,CULEX PIPIENS,T215,-87.531635,41.686398
14,CULEX PIPIENS/RESTUANS,T215,-87.531635,41.686398
15,CULEX RESTUANS,T215,-87.531635,41.686398
16,CULEX TERRITANS,T215,-87.531635,41.686398
17,CULEX SALINARIUS,T215,-87.531635,41.686398
18,CULEX PIPIENS,T212,-87.535198,41.680946
19,CULEX PIPIENS/RESTUANS,T212,-87.535198,41.680946
20,CULEX RESTUANS,T212,-87.535198,41.680946
21,CULEX TERRITANS,T212,-87.535198,41.680946
22,CULEX SALINARIUS,T212,-87.535198,41.680946
23,CULEX PIPIENS,T221,-87.53869300000001,41.659112
24,CULEX PIPIENS/RESTUANS,T221,-87.53869300000001,41.659112
25,CULEX SALINARIUS,T221,-87.53869300000001,41.659112
26,CULEX RESTUANS,T221,-87.53869300000001,41.659112
27,CULEX TERRITANS,T221,-87.53869300000001,41.659112
28,CULEX PIPIENS/RESTUANS,T097,-87.60449799999999,41.644612
29,CULEX PIPIENS,T097,-87.60449799999999,41.644612
30,CULEX RESTUANS,T097,-87.60449799999999,41.644612
31,CULEX PIPIENS/RESTUANS,T073,-87.60088,41.773215
32,CULEX RESTUANS,T073,-87.60088,41.773215
33,CULEX PIPIENS,T073,-87.60088,41.773215
34,CULEX PIPIENS/RESTUANS,T227,-87.60096300000001,41.728495
35,CULEX PIPIENS,T227,-87.60096300000001,41.728495
36,CULEX RESTUANS,T227,-87.60096300000001,41.728495
37,CULEX PIPIENS,T107,-87.582699,41.729669
38,CULEX PIPIENS/RESTUANS,T107,-87.582699,41.729669
39,CULEX PIPIENS/RESTUANS,T044,-87.705085,41.883284
40,CULEX RESTUANS,T044,-87.705085,41.883284
41,CULEX PIPIENS,T044,-87.705085,41.883284
42,CULEX PIPIENS/RESTUANS,T232,-87.66805500000001,41.912563
43,CULEX RESTUANS,T232,-87.66805500000001,41.912563
44,CULEX PIPIENS,T232,-87.66805500000001,41.912563
45,CULEX RESTUANS,T145,-87.629798,41.878114000000004
46,CULEX SALINARIUS,T145,-87.629798,41.878114000000004
47,CULEX PIPIENS/RESTUANS,T145,-87.629798,41.878114000000004
48,CULEX PIPIENS,T145,-87.629798,41.878114000000004
49,CULEX TERRITANS,T145,-87.629798,41.878114000000004
50,CULEX PIPIENS/RESTUANS,T142,-87.776792,41.953067
51,CULEX RESTUANS,T142,-87.776792,41.953067
52,CULEX PIPIENS,T142,-87.776792,41.953067
53,CULEX PIPIENS/RESTUANS,T006,-87.797127,41.990284
54,CULEX RESTUANS,T006,-87.797127,41.990284
55,CULEX PIPIENS,T006,-87.797127,41.990284
56,CULEX RESTUANS,T019,-87.69845699999999,41.94983
57,CULEX PIPIENS/RESTUANS,T019,-87.69845699999999,41.94983
58,CULEX PIPIENS,T019,-87.69845699999999,41.94983
59,CULEX RESTUANS,T220,-87.69181,41.963976
