,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,ResultSpeed,AvgSpeed
0,1,2007-05-01,83,50,67.0,14.0,51,56.0,0.0,2.0,448.0,1849.0,0.0,1.7,9.2
1,2,2007-05-01,84,52,68.0,14.0,51,57.0,0.0,3.0,448.0,1849.0,0.0,2.7,9.6
2,1,2007-05-02,59,42,51.0,-3.0,42,47.0,14.0,0.0,447.0,1850.0,0.0,13.0,13.4
3,2,2007-05-02,60,43,52.0,-3.0,42,47.0,13.0,0.0,447.0,1850.0,0.0,13.3,13.4
4,1,2007-05-03,66,46,56.0,2.0,40,48.0,9.0,0.0,446.0,1851.0,0.0,11.7,11.9
5,2,2007-05-03,67,48,58.0,2.0,40,50.0,7.0,0.0,446.0,1851.0,0.0,12.9,13.2
6,1,2007-05-04,66,49,58.0,4.0,41,50.0,7.0,0.0,444.0,1852.0,0.001,10.4,10.8
7,2,2007-05-04,78,51,58.0,4.0,42,50.0,7.0,0.0,444.0,1852.0,0.0,10.1,10.4
8,1,2007-05-05,66,53,60.0,5.0,38,49.0,5.0,0.0,443.0,1853.0,0.001,11.7,12.0
9,2,2007-05-05,66,54,60.0,5.0,39,50.0,5.0,0.0,443.0,1853.0,0.001,11.2,11.5
10,1,2007-05-06,68,49,59.0,4.0,30,46.0,6.0,0.0,442.0,1855.0,0.0,14.4,15.0
11,2,2007-05-06,68,52,60.0,4.0,30,46.0,5.0,0.0,442.0,1855.0,0.0,13.8,14.5
12,1,2007-05-07,83,47,65.0,10.0,41,54.0,0.0,0.0,441.0,1856.0,0.001,8.6,10.5
13,2,2007-05-07,84,50,67.0,10.0,39,53.0,0.0,2.0,441.0,1856.0,0.0,8.5,9.9
14,1,2007-05-08,82,54,68.0,12.0,58,62.0,0.0,3.0,439.0,1857.0,0.0,2.7,5.8
15,2,2007-05-08,80,60,70.0,12.0,57,63.0,0.0,5.0,439.0,1857.0,0.001,2.5,5.4
16,1,2007-05-09,77,61,69.0,13.0,59,63.0,0.0,4.0,438.0,1858.0,0.13,3.9,6.2
17,2,2007-05-09,76,63,70.0,13.0,60,63.0,0.0,5.0,438.0,1858.0,0.02,3.9,5.9
18,1,2007-05-10,84,56,70.0,14.0,52,60.0,0.0,5.0,437.0,1859.0,0.0,0.7,4.1
19,2,2007-05-10,83,59,71.0,14.0,52,61.0,0.0,6.0,437.0,1859.0,0.0,2.0,3.9
20,1,2007-05-11,70,51,61.0,4.0,42,51.0,4.0,0.0,436.0,1860.0,0.0,11.3,12.9
21,2,2007-05-11,73,49,61.0,4.0,44,51.0,4.0,0.0,436.0,1860.0,0.0,11.7,12.8
22,1,2007-05-12,64,46,55.0,-2.0,36,46.0,10.0,0.0,435.0,1901.0,0.0,12.4,12.9
23,2,2007-05-12,65,47,56.0,-2.0,37,46.0,9.0,0.0,435.0,1901.0,0.0,12.7,13.0
24,1,2007-05-13,69,43,56.0,-2.0,33,46.0,9.0,0.0,434.0,1902.0,0.0,6.6,8.1
25,2,2007-05-13,69,44,57.0,-2.0,32,46.0,8.0,0.0,434.0,1902.0,0.0,6.4,7.6
26,1,2007-05-14,90,56,73.0,15.0,47,59.0,0.0,8.0,433.0,1903.0,0.0,16.9,17.3
