,location,rmse
0,Alphabet City,8.531332129418853
1,Astoria,8.251257305759733
2,Battery Park City,13.687420884961906
3,Bay Ridge,4.252976351413535
4,Bayside,1.6364236762131055
5,Bedford,7.063030701178254
6,Belmont,1.695797875702523
7,Bensonhurst West,2.126653009979841
8,Bloomingdale,2.787350813810352
9,Boerum Hill,7.164137913226435
10,Borough Park,3.22180614066215
11,Briarwood/Jamaica Hills,2.0896635847445153
12,Brooklyn Heights,5.923462041269337
13,Brooklyn Navy Yard,1.7640373904479116
14,Brownsville,2.0496675424813207
15,Bushwick North,9.383648051165018
16,Bushwick South,8.628471028001785
17,Canarsie,2.6771070176887664
18,Carroll Gardens,4.995122133980957
19,Central Harlem,6.904778127296227
20,Central Harlem North,5.572166757128489
21,Central Park,7.389027254765756
22,Chinatown,6.259611586487543
23,Clinton East,29.06202946998229
24,Clinton Hill,7.955288594189192
25,Clinton West,21.461322063855516
26,Cobble Hill,3.4757702140575244
27,Columbia Street,2.3120801622100644
28,Corona,1.8315147575021011
29,Crown Heights North,10.996979885180954
30,Crown Heights South,3.086673207382965
31,DUMBO/Vinegar Hill,4.9811179006426585
32,Downtown Brooklyn/MetroTech,5.277874501048974
33,Dyker Heights,1.7854236203287615
34,East Chelsea,31.844862059270614
35,East Elmhurst,2.3251453704058935
36,East Flatbush/Farragut,2.3475101314191757
37,East Flatbush/Remsen Village,2.487687701759735
38,East Harlem North,8.068519347391591
39,East Harlem South,5.0245701272512395
40,East New York,2.422936980320916
41,East Village,42.16051338706434
42,East Williamsburg,12.953762494029169
43,Elmhurst,2.7294146165992155
44,Elmhurst/Maspeth,2.0151375017517035
45,Erasmus,4.256384970075761
46,Financial District North,12.621341349186128
47,Financial District South,6.947386596011499
48,Flatbush/Ditmas Park,6.379575325669541
49,Flatiron,22.01531944664514
50,Flatlands,2.548479554164889
51,Flushing,2.632680087938975
52,Forest Hills,3.8842943425192584
53,Fort Greene,7.284382066058796
54,Garment District,16.65998986427474
55,Glendale,2.003840818505149
56,Gowanus,7.907870655286484
57,Gramercy,21.608292212777734
58,Greenpoint,10.940354983844012
59,Greenwich Village North,24.794024165192372
60,Greenwich Village South,19.778565465124466
61,Hamilton Heights,3.5636147873800375
62,Hillcrest/Pomonok,2.141804353598078
63,Homecrest,2.7706717787375768
64,Hudson Sq,13.879127925631895
65,Inwood,2.56368632024328
66,JFK Airport,28.662379621961282
67,Jackson Heights,3.9105130539795634
68,Jamaica,2.927932161053261
69,Kensington,2.2467806009703097
70,Kew Gardens,2.2318208141581013
71,Kew Gardens Hills,1.7471500002345406
72,Kips Bay,14.415848831734472
73,LaGuardia Airport,35.51771457190974
74,Lenox Hill East,11.237222835278104
75,Lenox Hill West,15.401479693139368
76,Lincoln Square East,24.391834587619265
77,Lincoln Square West,9.9527629694199
78,Little Italy/NoLiTa,23.95558405973712
79,Long Island City/Hunters Point,12.402027518830026
80,Long Island City/Queens Plaza,3.760448315942443
81,Lower East Side,25.269342514858348
82,Manhattan Valley,5.613666498531217
83,Manhattanville,2.7985783390460437
84,Marine Park/Mill Basin,1.902089796963794
85,Maspeth,2.630078451644614
86,Meatpacking/West Village West,36.823136511902675
87,Middle Village,1.9381704949927192
88,Midtown Center,56.508956369759154
89,Midtown East,36.06365725631596
90,Midtown North,32.074428095281164
91,Midtown South,27.65358342469953
92,Midwood,2.58502632861716
93,Morningside Heights,6.260581323122886
94,Mott Haven/Port Morris,2.281842143575126
95,Murray Hill,30.945532045771188
96,Ocean Hill,2.270815006949191
97,Old Astoria,3.3694500729344057
98,Park Slope,16.453295108089456
99,Penn Station/Madison Sq West,23.78591664081762
100,Prospect Heights,5.664378950267811
101,Prospect-Lefferts Gardens,4.581832151952217
102,Red Hook,4.038869927538762
103,Rego Park,2.1806454055638684
104,Richmond Hill,2.3829981842711603
105,Ridgewood,3.815614272604877
106,Riverdale/North Riverdale/Fieldston,2.6473864832510987
107,Seaport,4.853784449207995
108,SoHo,19.42688175956672
109,South Ozone Park,2.2354444944428766
110,Spuyten Duyvil/Kingsbridge,2.1202408261970604
111,Steinway,4.822484745819541
112,Stuy Town/Peter Cooper Village,7.812766738267578
113,Stuyvesant Heights,6.98217986695606
114,Sunnyside,5.786879812104114
115,Sunset Park East,1.8800367885160827
116,Sunset Park West,4.184876264521329
117,Sutton Place/Turtle Bay North,17.479282753546702
118,Times Sq/Theatre District,36.83930465380375
119,TriBeCa/Civic Center,31.846871890582154
120,Two Bridges/Seward Park,7.587234660789994
121,UN/Turtle Bay South,24.783161387793076
122,Union Sq,42.18343565177822
123,Upper East Side North,21.650463392942
124,Upper East Side South,25.278083795516746
125,Upper West Side North,12.165971056786058
126,Upper West Side South,16.04204022293044
127,Washington Heights North,4.020792982239857
128,Washington Heights South,4.841785375173169
129,West Chelsea/Hudson Yards,28.98545507424796
130,West Concourse,8.18372943842629
131,West Village,37.66202318190862
132,Williamsburg (North Side),30.962775984602313
133,Williamsburg (South Side),11.54533409021279
134,Windsor Terrace,3.50642609398252
135,Woodhaven,1.711797460774502
136,Woodside,3.158947385794056
137,World Trade Center,6.360642997993081
138,Yorkville East,9.068571824304758
139,Yorkville West,12.768055194680624
