,Datetime,Zone,actual,pred
0,2015-06-23 00:00:00,Astoria,26.0,13.8521383
1,2015-06-23 00:00:00,Battery Park City,31.0,16.661285
2,2015-06-23 00:00:00,Bay Ridge,6.0,3.9512348
3,2015-06-23 00:00:00,Bayside,3.0,1.1853378
4,2015-06-23 00:00:00,Bedford-Stuyvesant,52.0,26.718286000000003
5,2015-06-23 00:00:00,Belmont,1.0,1.1828698
6,2015-06-23 00:00:00,Bensonhurst,2.0,1.292076
7,2015-06-23 00:00:00,Boerum Hill,16.0,8.101554
8,2015-06-23 00:00:00,Borough Park,6.0,2.526033
9,2015-06-23 00:00:00,Brooklyn Heights,18.0,7.9409003
10,2015-06-23 00:00:00,Brownsville,3.0,1.5612761
11,2015-06-23 00:00:00,Bushwick,51.0,38.752790000000005
12,2015-06-23 00:00:00,Canarsie,5.0,3.0038907999999998
13,2015-06-23 00:00:00,Carroll Gardens,10.0,4.9502562999999995
14,2015-06-23 00:00:00,Central Park,7.0,3.8601824999999996
15,2015-06-23 00:00:00,Chelsea,83.0,58.875823999999994
16,2015-06-23 00:00:00,Chinatown,3.0,5.1612635000000004
17,2015-06-23 00:00:00,Civic Center,84.0,34.777065
18,2015-06-23 00:00:00,Clinton Hill,74.0,51.5973915
19,2015-06-23 00:00:00,Cobble Hill,5.0,2.5582309
20,2015-06-23 00:00:00,Columbia St,1.0,1.4881562
21,2015-06-23 00:00:00,Concourse,11.0,3.989346
22,2015-06-23 00:00:00,Corona,3.0,1.5857316000000001
23,2015-06-23 00:00:00,Crown Heights,27.0,19.5096276
24,2015-06-23 00:00:00,Ditmars Steinway,4.0,5.058328599999999
25,2015-06-23 00:00:00,Downtown Brooklyn,9.0,6.5334597
26,2015-06-23 00:00:00,Dyker Heights,0.0,0.87954676
27,2015-06-23 00:00:00,East Elmhurst,4.0,2.1515465
28,2015-06-23 00:00:00,East Flatbush,8.0,8.463232999999999
29,2015-06-23 00:00:00,East Harlem,21.0,13.903039
30,2015-06-23 00:00:00,East New York,9.0,3.5412673999999997
31,2015-06-23 00:00:00,East Village,77.0,51.8864193
32,2015-06-23 00:00:00,Elmhurst,11.0,6.559217
33,2015-06-23 00:00:00,Financial District,68.0,41.2044274
34,2015-06-23 00:00:00,Flatbush,5.0,7.407727700000001
35,2015-06-23 00:00:00,Flatiron District,23.0,21.002575
36,2015-06-23 00:00:00,Flatlands,5.0,2.768822
37,2015-06-23 00:00:00,Flushing,10.0,5.5117939
38,2015-06-23 00:00:00,Forest Hills,11.0,5.705043
39,2015-06-23 00:00:00,Fort Greene,11.0,11.955210000000001
40,2015-06-23 00:00:00,Glendale,1.0,1.4390628
41,2015-06-23 00:00:00,Gowanus,7.0,5.1195035
42,2015-06-23 00:00:00,Gramercy,128.0,59.251789
43,2015-06-23 00:00:00,Greenpoint,24.0,17.584225
44,2015-06-23 00:00:00,Greenwich Village,70.0,44.826083
45,2015-06-23 00:00:00,Harlem,42.0,24.448703300000002
46,2015-06-23 00:00:00,Inwood,4.0,2.48437
47,2015-06-23 00:00:00,Jackson Heights,7.0,5.0684323
48,2015-06-23 00:00:00,Jamaica,7.0,3.4429038
49,2015-06-23 00:00:00,Jamaica Hills,3.0,2.0057118000000003
50,2015-06-23 00:00:00,John F. Kennedy International Airport,162.0,214.11142
51,2015-06-23 00:00:00,Kensington,2.0,1.4377472
52,2015-06-23 00:00:00,Kew Gardens,3.0,1.3668791999999998
53,2015-06-23 00:00:00,Kew Gardens Hills,2.0,1.7071161
54,2015-06-23 00:00:00,Kips Bay,12.0,11.028769500000001
55,2015-06-23 00:00:00,LaGuardia Airport,88.0,76.61608000000001
56,2015-06-23 00:00:00,Little Italy,31.0,25.168829000000002
57,2015-06-23 00:00:00,Long Island City,12.0,11.9090174
58,2015-06-23 00:00:00,Lower East Side,55.0,25.128637
59,2015-06-23 00:00:00,Marine Park,3.0,1.2630196000000002
60,2015-06-23 00:00:00,Maspeth,1.0,1.9904093
61,2015-06-23 00:00:00,Middle Village,3.0,1.4327008999999997
62,2015-06-23 00:00:00,Midtown,437.0,245.09192
63,2015-06-23 00:00:00,Midwood,4.0,1.8347886999999998
64,2015-06-23 00:00:00,Morningside Heights,10.0,6.2219357
65,2015-06-23 00:00:00,Murray Hill,55.0,25.125835000000002
66,2015-06-23 00:00:00,Navy Yard,0.0,2.3206439999999997
67,2015-06-23 00:00:00,North Riverdale,1.0,1.0003089
68,2015-06-23 00:00:00,Park Slope,26.0,20.965951999999998
69,2015-06-23 00:00:00,Port Morris,2.0,1.8380523000000002
70,2015-06-23 00:00:00,Prospect Heights,14.0,7.6167045
71,2015-06-23 00:00:00,Prospect-Lefferts Gardens,9.0,7.046060000000001
72,2015-06-23 00:00:00,Red Hook,5.0,2.8361118
73,2015-06-23 00:00:00,Rego Park,1.0,1.6551251
74,2015-06-23 00:00:00,Richmond Hill,3.0,1.1798062
75,2015-06-23 00:00:00,Ridgewood,7.0,4.6736374000000005
76,2015-06-23 00:00:00,Sheepshead Bay,4.0,1.6843495
77,2015-06-23 00:00:00,SoHo,68.0,32.203945000000004
78,2015-06-23 00:00:00,South Ozone Park,3.0,1.9481568
79,2015-06-23 00:00:00,Spuyten Duyvil,1.0,1.4813616000000003
80,2015-06-23 00:00:00,Stuyvesant Town,9.0,4.0162363
81,2015-06-23 00:00:00,Sunnyside,9.0,5.730183599999999
82,2015-06-23 00:00:00,Sunset Park,6.0,5.9636116
83,2015-06-23 00:00:00,Theater District,121.0,64.282135
84,2015-06-23 00:00:00,Two Bridges,14.0,9.282322
85,2015-06-23 00:00:00,Upper East Side,103.0,63.458686
86,2015-06-23 00:00:00,Upper West Side,105.0,54.1568924
87,2015-06-23 00:00:00,Vinegar Hill,16.0,7.7240705
88,2015-06-23 00:00:00,Washington Heights,27.0,12.205368100000001
89,2015-06-23 00:00:00,West Village,153.0,47.84063499999999
90,2015-06-23 00:00:00,Williamsburg,132.0,83.06581899999999
91,2015-06-23 00:00:00,Windsor Terrace,8.0,2.1448028
92,2015-06-23 00:00:00,Woodhaven,2.0,1.4068513
93,2015-06-23 00:00:00,Woodside,4.0,2.7617047
94,2015-06-23 01:00:00,Astoria,8.0,8.6537403
95,2015-06-23 01:00:00,Battery Park City,17.0,8.836668
96,2015-06-23 01:00:00,Bay Ridge,3.0,2.2308493
97,2015-06-23 01:00:00,Bayside,0.0,0.82183015
98,2015-06-23 01:00:00,Bedford-Stuyvesant,36.0,17.2935847
99,2015-06-23 01:00:00,Belmont,1.0,0.7213976
100,2015-06-23 01:00:00,Bensonhurst,1.0,0.7474581
101,2015-06-23 01:00:00,Boerum Hill,5.0,4.381545
102,2015-06-23 01:00:00,Borough Park,6.0,1.4270043
103,2015-06-23 01:00:00,Brooklyn Heights,6.0,3.9462693
104,2015-06-23 01:00:00,Brownsville,0.0,0.9649134
105,2015-06-23 01:00:00,Bushwick,38.0,26.014982
106,2015-06-23 01:00:00,Canarsie,3.0,2.2041395
107,2015-06-23 01:00:00,Carroll Gardens,3.0,2.3765464
108,2015-06-23 01:00:00,Central Park,4.0,1.5511143
109,2015-06-23 01:00:00,Chelsea,46.0,33.857025
110,2015-06-23 01:00:00,Chinatown,6.0,4.157207
111,2015-06-23 01:00:00,Civic Center,38.0,17.929333
112,2015-06-23 01:00:00,Clinton Hill,59.0,30.121626000000003
113,2015-06-23 01:00:00,Cobble Hill,1.0,1.3137871
114,2015-06-23 01:00:00,Columbia St,0.0,0.61853176
115,2015-06-23 01:00:00,Concourse,0.0,1.967026
116,2015-06-23 01:00:00,Corona,1.0,1.1135464
117,2015-06-23 01:00:00,Crown Heights,18.0,11.1649679
118,2015-06-23 01:00:00,Ditmars Steinway,7.0,3.0139256000000003
119,2015-06-23 01:00:00,Downtown Brooklyn,3.0,3.6734983999999997
120,2015-06-23 01:00:00,Dyker Heights,0.0,0.4813755
121,2015-06-23 01:00:00,East Elmhurst,3.0,1.2324711000000002
122,2015-06-23 01:00:00,East Flatbush,7.0,5.1900947
123,2015-06-23 01:00:00,East Harlem,3.0,7.934572900000001
124,2015-06-23 01:00:00,East New York,2.0,2.342388
125,2015-06-23 01:00:00,East Village,67.0,32.4295441
126,2015-06-23 01:00:00,Elmhurst,11.0,4.888692000000001
127,2015-06-23 01:00:00,Financial District,39.0,22.2774169
128,2015-06-23 01:00:00,Flatbush,8.0,4.110155000000001
129,2015-06-23 01:00:00,Flatiron District,18.0,12.654728
130,2015-06-23 01:00:00,Flatlands,5.0,1.8337002
131,2015-06-23 01:00:00,Flushing,3.0,3.5251982
132,2015-06-23 01:00:00,Forest Hills,7.0,3.1261647
133,2015-06-23 01:00:00,Fort Greene,5.0,6.923894000000001
134,2015-06-23 01:00:00,Glendale,2.0,0.91001445
135,2015-06-23 01:00:00,Gowanus,1.0,2.4810882000000003
136,2015-06-23 01:00:00,Gramercy,71.0,27.770837
137,2015-06-23 01:00:00,Greenpoint,19.0,11.022464999999999
138,2015-06-23 01:00:00,Greenwich Village,42.0,20.692712999999998
139,2015-06-23 01:00:00,Harlem,22.0,14.713281199999999
140,2015-06-23 01:00:00,Inwood,1.0,1.6034848999999998
141,2015-06-23 01:00:00,Jackson Heights,3.0,2.6570560000000003
142,2015-06-23 01:00:00,Jamaica,4.0,2.3922079
143,2015-06-23 01:00:00,Jamaica Hills,2.0,1.6113594999999998
144,2015-06-23 01:00:00,John F. Kennedy International Airport,124.0,137.83693
145,2015-06-23 01:00:00,Kensington,1.0,0.8680661
146,2015-06-23 01:00:00,Kew Gardens,5.0,0.78441167
147,2015-06-23 01:00:00,Kew Gardens Hills,0.0,1.4817928
148,2015-06-23 01:00:00,Kips Bay,10.0,6.4721413
149,2015-06-23 01:00:00,LaGuardia Airport,2.0,33.224728000000006
150,2015-06-23 01:00:00,Little Italy,18.0,13.878004999999998
151,2015-06-23 01:00:00,Long Island City,18.0,6.7345102
152,2015-06-23 01:00:00,Lower East Side,27.0,17.752409
153,2015-06-23 01:00:00,Marine Park,2.0,0.7430265
154,2015-06-23 01:00:00,Maspeth,2.0,1.4254248999999999
155,2015-06-23 01:00:00,Middle Village,0.0,0.9407136999999999
156,2015-06-23 01:00:00,Midtown,273.0,121.89757800000001
157,2015-06-23 01:00:00,Midwood,1.0,0.9255314
158,2015-06-23 01:00:00,Morningside Heights,5.0,3.9364336000000004
159,2015-06-23 01:00:00,Murray Hill,20.0,13.876370999999999
160,2015-06-23 01:00:00,Navy Yard,2.0,1.377767
161,2015-06-23 01:00:00,North Riverdale,0.0,0.7288313
162,2015-06-23 01:00:00,Park Slope,15.0,9.252771000000001
163,2015-06-23 01:00:00,Port Morris,1.0,1.2994782
164,2015-06-23 01:00:00,Prospect Heights,3.0,4.0725964999999995
