,STATION,zipcode
0,59 ST,11207.0
1,5 AV/59 ST,10022.0
2,57 ST-7 AV,10106.0
3,49 ST,10020.0
4,TIMES SQ-42 ST,10018.0
5,34 ST-HERALD SQ,11003.0
6,28 ST,10001.0
7,23 ST,10010.0
8,14 ST-UNION SQ,10003.0
9,8 ST-NYU,10003.0
10,PRINCE ST,10012.0
11,CANAL ST,10013.0
12,CITY HALL,10007.0
13,CORTLANDT ST,10006.0
14,RECTOR ST,10006.0
15,DELANCEY/ESSEX,10002.0
16,BOWER,10002.0
17,CHAMBERS ST,10013.0
18,FULTON ST,10038.0
19,BROAD ST,10005.0
20,7 AV,10106.0
21,PARK PLACE,11238.0
22,BOTANIC GARDE,10458.0
23,PROSPECT PARK,11226.0
24,PARKSIDE AV,11226.0
25,CHURCH AV,11218.0
26,BEVERLEY ROAD,11226.0
27,CORTELYOU RD,11226.0
28,EWKIRK PLAZA,11226.0
29,AVENUE H,11230.0
30,AVENUE J,11230.0
31,AVENUE M,11230.0
32,KINGS HW,11229.0
33,AVENUE U,11223.0
34,ECK RD,11229.0
35,SHEEPSHEAD BA,11235.0
36,BRIGHTON BEACH,11235.0
37,OCEAN PKW,11235.0
38,BOROUGH HALL,11201.0
39,JAY ST-METROTEC,11201.0
40,DEKALB AV,11217.0
41,ATL AV-BARCLA,11217.0
42,UNION ST,11215.0
43,4AV-9 ST,11215.0
44,PROSPECT AV,11215.0
45,25 ST,11232.0
46,36 ST,10012.0
47,45 ST,11220.0
48,53 ST,10022.0
49,BAY RIDGE AV,11220.0
50,77 ST,10075.0
51,86 ST,10028.0
52,BAY RIDGE-95 ST,11209.0
53,8 AV,10014.0
54,FT HAMILTON PK,11218.0
55,EW UTRECHT AV,11219.0
56,18 AV,11204.0
57,20 AV,10309.0
58,BAY PKW,11204.0
59,9 AV,11219.0
60,50 ST,10019.0
61,55 ST,11219.0
62,71 ST,11375.0
63,79 ST,11220.0
64,25 AV,11214.0
65,BAY 50 ST,11214.0
66,W 8 ST-AQUARIUM,11224.0
67,6 AV,10019.0
68,3 AV,10003.0
69,1 AV,10017.0
70,BEDFORD AV,11211.0
71,LORIMER ST,11211.0
72,GRAHAM AV,11211.0
73,GRAND ST,10017.0
74,MONTROSE AV,11206.0
75,MORGAN AV,11237.0
76,JEFFERSON ST,11237.0
77,MYRTLE-WYCKOFF,11237.0
78,HALSEY ST,11207.0
79,WILSON AV,11207.0
80,BUSHWICK AV,11207.0
81,ATLANTIC AV,11243.0
82,SUTTER AV,11212.0
83,LIVONIA AV,11212.0
84,EW LOTS,11212.0
85,EAST 105 ST,11236.0
86,CANARSIE-ROCKAW,11236.0
87,HOWARD BCH JFK,11430.0
88,JFK JAMAICA CT1,11435.0
89,MARCY AV,11211.0
90,HEWES ST,11211.0
91,FLUSHING AV,11206.0
92,MYRTLE AV,11206.0
93,KOSCIUSZKO ST,11221.0
94,GATES AV,11221.0
95,CHAUNCEY ST,11207.0
96,ALABAMA AV,11207.0
97,VAN SICLEN AV,11207.0
98,CLEVELAND ST,11208.0
99,ORWOOD AV,11208.0
100,CRESCENT ST,11208.0
101,CYPRESS HILLS,11208.0
102,75 ST-ELDERTS,11421.0
103,85 ST-FOREST PK,11421.0
104,WOODHAVEN BLVD,11373.0
105,104 ST,11418.0
106,111 ST,11368.0
107,121 ST,11418.0
108,SENECA AVE,11385.0
109,FOREST AVE,11375.0
110,FRESH POND RD,11385.0
111,METROPOLITAN AV,11379.0
112,INWOOD-207 ST,10034.0
113,DYCKMAN ST,10040.0
114,190 ST,10040.0
115,181 ST,10040.0
116,175 ST,10033.0
117,168 ST,10032.0
118,163 ST-AMSTERDM,10032.0
119,155 ST,10039.0
120,145 ST,10031.0
121,135 ST,10030.0
122,125 ST,10035.0
123,116 ST,10027.0
124,CATHEDRAL PKW,10025.0
125,103 ST,10029.0
126,96 ST,10025.0
127,81 ST-MUSEUM,10024.0
128,72 ST,10021.0
129,59 ST COLUMBUS,10023.0
130,42 ST-PORT AUTH,10036.0
131,34 ST-PENN STA,10119.0
132,14 ST,10011.0
133,W 4 ST-WASH SQ,10012.0
134,SPRING ST,10013.0
135,WORLD TRADE CTR,10006.0
136,HIGH ST,11201.0
137,HOYT-SCHER,11201.0
138,LAFAYETTE AV,11217.0
139,CLINTON-WASH AV,11205.0
140,FRANKLIN AV,11238.0
141,OSTRAND AV,11216.0
142,KINGSTON-THROOP,11213.0
143,UTICA AV,11213.0
144,RALPH AV,11233.0
145,ROCKAWAY AV,11224.0
146,BROADWAY JCT,10533.0
147,LIBERTY AV,11207.0
148,VAN SICLEN AVE,11207.0
149,SHEPHERD AV,11208.0
150,EUCLID AV,11208.0
151,GRANT AV,11208.0
152,80 ST,11416.0
153,88 ST,11417.0
154,ROCKAWAY BLVD,11417.0
155,OZONE PK LEFFRT,11419.0
156,AQUEDUCT RACETR,11417.0
157,BROAD CHANNEL,11693.0
158,BEACH 90 ST,11693.0
159,BEACH 98 ST,11694.0
160,BEACH 105 ST,11694.0
161,ROCKAWAY PARK B,11694.0
162,BEACH 67 ST,11692.0
163,BEACH 60 ST,11692.0
164,BEACH 44 ST,11691.0
